I-ONE Agent,AI 员工
Billed,已开票
Billed Amount,已开票金额
Billed Items To Be Received,已开票待采购入库明细
Billed Qty,已开票数量
"Billed, Received & Returned",已开票，已收货，已退货
Billing Address,发票地址
Billing Address Details,发票地址详情
Billing Address Name,开票地址名称
Billing Address does not belong to the {0},账单地址不属于{0}
Billing Amount,开票金额
Billing City,市（开票）
Billing Country,国家（开票）
Billing County,县（开票）
Billing Currency,结算货币
Billing Date,发票日期
Billing Details,开票信息
Billing Email,账单邮箱
Billing Hours,开票工时
Billing Interval,计费频率
Billing Interval Count,计费计数
Billing Interval Count cannot be less than 1,发票间隔计数不能小于1
Billing Interval in Subscription Plan must be Month to follow calendar months,订阅计划中的计费周期必须为月以遵循日历月份
Billing Rate,开票单价
Billing State,省（开票）
Billing Zipcode,邮编（开票）
Billing currency must be equal to either default company's currency or party account currency,开票(发票)货币必须等于默认公司的货币或科目货币
Bin,储位
Bio / Cover Letter,履历/求职信
Bisect Accounting Statements,会计报表枢纽分析
Bisect Left,左分割
Bisect Nodes,枢纽分析表节点
Bisect Right,右分割
Bisecting From,分割起始
Bisecting Left ...,正在左分割...
Bisecting Right ...,正在右分割...
Bisecting To,分割结束
Biweekly,双周
Black,黑
Blanket Order Allowance (%),框架订单超量控制(％)
Blanket Order Item,框架订单明细
Block Invoice,冻结发票
Block Supplier,临时冻结供应商
Blog Subscriber,博客订阅者
Body,正文
Body Text,正文文本
Body and Closing Text Help,正文和结束文本帮助
Book Advance Payments as Liability option is chosen. Paid From account changed from {0} to {1}.,已选择将预付款记为负债，付款账户从{0}更改为{1}
Book Advance Payments in Separate Party Account,启用预收/付款科目
Book Appointment,预约登记
Book an appointment,预约登记
Booked,已预订
Booked Fixed Asset,已入账固定资产
Both,两者
Both Payable Account: {0} and Advance Account: {1} must be of same currency for company: {2},应付账户{0}和预付款账户{1}对公司{2}必须使用相同货币
Both Receivable Account: {0} and Advance Account: {1} must be of same currency for company: {2},应收账户{0}和预付款账户{1}对公司{2}必须使用相同货币
Both Trial Period Start Date and Trial Period End Date must be set,必须设置试用开始日期和试用结束日期
Both {0} Account: {1} and Advance Account: {2} must be of same currency for company: {3},{0}账户{1}和预付款账户{2}对公司{3}必须使用相同货币
Branch,分支机构（分公司）
Branch Code,分支机构代码
Brand Defaults,品牌默认值
Brand Name,品牌名称
Breakdown,故障
Browse BOM,浏览BOM
Bucket Size,分桶大小
Budget Account,预算科目
Budget Against,预算对象
Budget Amount,预算额
Budget Detail,预算信息
Budget Exceeded,预算超支
Budget List,预算清单
Budget Variance Report,预算差异报表
Budget cannot be assigned against Group Account {0},预算不能分派给组类科目{0}
Budgets,预算
Buffer Time,缓冲时间
Buffered Cursor,缓存游标
Build All?,物料齐套?
Build Tree,构建树形结构
Buildable Qty,可生产数量
Buildings,房屋
Bulk Rename Jobs,批量重命名任务
Bulk Transaction Log,批量操作日志
Bulk Transaction Log Detail,批量操作日志明细
Bundle Items,套件明细
Bundle Qty,套件数量
Busy,忙
Buy,采购
Buyer of Goods and Services.,产品和服务采购者。
Buying & Selling Settings,采购与销售设置
Buying Amount,采购金额
Buying Price List,采购价格表
Buying Rate,采购价
Buying Settings,采购设置
Buying and Selling,采购与销售
"Buying must be checked, if Applicable For is selected as {0}",“适用于”为{0}时必须勾选“采购”
"By default, the Supplier Name is set as per the Supplier Name entered. If you want Suppliers to be named by a <a href='https://docs.erpnext.com/docs/user/manual/en/setting-up/settings/naming-series' target='_blank'>Naming Series</a> choose the 'Naming Series' option.",默认供应商名称按输入显示。若要通过<a href='https://docs.erpnext.com/docs/user/manual/en/setting-up/settings/naming-series' target='_blank'>编号规则</a>命名供应商，请选择'编号规则'选项
Bypass credit check at Sales Order,销售订单不检查信用额度
CC To,抄送至
COGS By Item Group,按物料组销货成本
COGS Debit,销售成本(借方)
CRM Note,CRM备注
CRM Settings,客户关系设置
CWIP Account,在建工程科目
Calculate Based On,计算基于
Calculate Depreciation,计算折旧
Calculate Estimated Arrival Times,计算预计到达时间
Calculate daily depreciation using total days in depreciation period,按折旧期间总天数计算日折旧额
Calculated Bank Statement balance,银行对账单余额
Calculations,计算
Calendar Event,事件
Calibration,校准
Call Again,再次呼叫
Call Connected,呼叫已连接
Call Details,通话详情
Call Duration in seconds,呼叫持续时间（秒）
Call Ended,通话结束
Call Handling Schedule,通话处理安排
Call Log,通话记录
Call Missed,打电话错过了
Call Received By,接听人
Call Receiving Device,接听设备
Call Routing,呼叫路由
Call Schedule Row {0}: To time slot should always be ahead of From time slot.,排程行{0}：结束时段应在开始时段之后
Call Summary,呼叫摘要
Call Summary Saved,电话记要已保存
Call Type,通话类型
Callback,回拨
Campaign Efficiency,促销活动效率
Campaign Email Schedule,活动邮件计划
Campaign Item,促销活动物料
Campaign Name,促销活动名称
Campaign Naming By,促销活动号字段
Campaign Schedules,促销计划
Can be approved by {0},可以被 {0} 批准
Can not close Work Order. Since {0} Job Cards are in Work In Progress state.,无法关闭工单，因{0}张作业卡处于进行中状态
"Can not filter based on Cashier, if grouped by Cashier",若按收银员分组，则无法按收银员筛选
"Can not filter based on Child Account, if grouped by Account",若按科目分组，则无法按子科目筛选
"Can not filter based on Customer, if grouped by Customer",若按客户分组，则无法按客户筛选
"Can not filter based on POS Profile, if grouped by POS Profile",若按POS配置分组，则无法按POS配置筛选
"Can not filter based on Payment Method, if grouped by Payment Method",若按付款方式分组，则无法按付款方式筛选
"Can not filter based on Voucher No, if grouped by Voucher",按凭证分类后不能根据凭证号过滤
Can only make payment against unbilled {0},只能为未开票{0}付款
Can refer row only if the charge type is 'On Previous Row Amount' or 'Previous Row Total',仅在收费模式为“基于上一行金额”或“前一行的总计”才能参考（这一）行
"Can't change the valuation method, as there are transactions against some items which do not have its own valuation method",有些物料未在物料主数据中维护成本计算方法且已关联物料凭证与会计凭证，考虑资料一致性此处成本计算方法不能被修改
Cancel Material Visit {0} before cancelling this Warranty Claim,取消此保修申请之前请先取消维护巡修{0}
Cancel Material Visits {0} before cancelling this Maintenance Visit,取消此维护巡修之前请先取维护巡修{0}
Cancel Subscription,取消订阅
Cancel Subscription After Grace Period,宽限期后取消订阅
Cancelation Date,取消日期
Cannot Assign Cashier,无法指定出纳员
Cannot Change Inventory Account Setting,无法更改库存科目设置
Cannot Create Return,无法创建退货
Cannot Merge,无法合并
Cannot Relieve Employee,无法解除员工
Cannot Resubmit Ledger entries for vouchers in Closed fiscal year.,不允许在已关闭财年更新会计凭证
"Cannot amend {0} {1}, please create a new one instead.",不允许修订 {0} {1}，请创建新单据
Cannot apply TDS against multiple parties in one entry,单笔凭证不能为多方应用源头减税
Cannot be a fixed asset item as Stock Ledger is created.,物料已有物料凭证后不能再将其设置为固定资产。
Cannot cancel Asset Depreciation Schedule {0} as it has a draft journal entry {1}.,无法取消资产折旧计划{0}，因其存在草稿状态的日记账凭证{1}。
Cannot cancel POS Closing Entry,无法取消POS结账凭证。
Cannot cancel as processing of cancelled documents is pending.,因相关已取消单据后台提交尚未完成，不能进行取消操作
Cannot cancel because submitted Stock Entry {0} exists,不能取消，因为提交的仓储记录{0}已经存在
Cannot cancel the transaction. Reposting of item valuation on submission is not completed yet.,物料价值重估未完成，无法取消交易
Cannot cancel this Manufacturing Stock Entry as quantity of Finished Good produced cannot be less than quantity delivered in the linked Subcontracting Inward Order.,无法取消本生产库存凭证，因产成品数量不得少于关联外包收货订单中的已交付数量。
Cannot cancel this document as it is linked with the submitted asset {asset_link}. Please cancel the asset to continue.,该单据关联已提交资产{asset_link}，需先取消资产
Cannot cancel transaction for Completed Work Order.,无法取消已完成工单的交易。
Cannot change Attributes after stock transaction. Make a new Item and transfer stock to the new Item,已有物料移动交易后不能更改物料的属性。请创建一个新物料并将库存转移到新物料
Cannot change Reference Document Type.,不可修改参考单据类型
Cannot change Service Stop Date for item in row {0},无法更改第{0}行中服务停止日期
Cannot change Variant properties after stock transaction. You will have to make a new Item to do this.,存货业务发生后不能更改多规格物料的属性。需要创建新物料。
"Cannot change company's default currency, because there are existing transactions. Transactions must be cancelled to change the default currency.",因为已有交易不能改变公司的默认货币，请先取消交易。
Cannot convert Cost Center to ledger as it has child nodes,因为有下级成本中心，不能将其转换为记账成本中心，。
Cannot convert Task to non-group because the following child Tasks exist: {0}.,存在子任务{0}，无法转换为非组任务
Cannot convert to Group because Account Type is selected.,科目类型字段清空后才能执行操作->转换为组
Cannot covert to Group because Account Type is selected.,科目类型字段须为空才能转换为组。
Cannot create Stock Reservation Entries for future dated Purchase Receipts.,无法为未来日期的采购收据创建库存预留
Cannot create a pick list for Sales Order {0} because it has reserved stock. Please unreserve the stock in order to create a pick list.,为销售订单 {0} 创建了库存预留，请取消预留后再创建拣货单
Cannot create accounting entries against disabled accounts: {0},无法为已禁用科目{0}创建会计凭证
Cannot create return for consolidated invoice {0}.,无法为合并发票{0}创建退货。
Cannot deactivate or cancel BOM as it is linked with other BOMs,无法停用或取消BOM，因为它被其他BOM引用。
Cannot declare as Lost because an active Quotation exists.,由于存在有效报价单，无法标记为“丢失”。
Cannot deduct when category is for 'Valuation' or 'Valuation and Total',分类是“估值”或“估值和总计”的时候不能扣税。
Cannot delete Exchange Gain/Loss row,无法删除汇兑损益行
"Cannot delete Serial No {0}, as it is used in stock transactions",无法删除已在库存业务单据中使用过的序列号{0}
"Cannot disable perpetual inventory, as there are existing Stock Ledger Entries for the company {0}. Please cancel the stock transactions first and try again.",无法停用永续盘存制，因公司{0}存在库存分类账记录。请先取消库存交易再重试。
Cannot disassemble more than produced quantity.,拆解数量不得超过产出数量。
"Cannot enable Item-wise Inventory Account, as there are existing Stock Ledger Entries for the company {0} with Warehouse-wise Inventory Account. Please cancel the stock transactions first and try again.",无法启用按物料核算库存科目，因公司{0}已存在按仓库核算的库存分类账记录。请先取消库存交易再重试。
Cannot ensure delivery by Serial No as Item {0} is added with and without Ensure Delivery by Serial No.,物料{0}同时存在启用和未启用序列号交付，无法确保
Cannot find Item or Warehouse with this Barcode,未找到匹配此条码的物料或仓库
Cannot find Item with this Barcode,找不到该条码对应的物料
"Cannot find a default warehouse for item {0}. Please select one in the Update Items dialog, or set a default in the Item Master or in the Company.",无法找到物料 {0} 的默认仓库。请在“更新物料”对话框中选择，或在物料主数据或公司中设置默认仓库。
Cannot produce more item for {0},无法为{0}生产更多物料
Cannot produce more than {0} items for {1},无法为{1}生产超过{0}件物料
Cannot receive from customer against negative outstanding,存在负未清金额时不可从客户收货
Cannot refer row number greater than or equal to current row number for this Charge type,此收取类型不能引用大于或等于本行的数据。
Cannot repost more than {0} vouchers at once. Split them into multiple documents.,一次最多重新过账 {0} 张凭证。请拆分为多个单据。
Cannot retrieve link token for update. Check Error Log for more information,无法获取更新链接令牌，查看错误日志
Cannot retrieve link token. Check Error Log for more information,无法获取链接令牌，查看错误日志
Cannot select charge type as 'On Previous Row Amount' or 'On Previous Row Total' for first row,第一行的“收取类型”不能是“基于上一行的金额”或者“前一行的总计”
Cannot set as Lost as Sales Order is made.,已有销售订单时不能更改其状态为未成交。
Cannot set authorization on basis of Discount for {0},不能为{0}设置折扣授权
Cannot set multiple Item Defaults for a company.,无法为公司设置多个物料默认值。
Cannot set quantity less than delivered quantity.,无法设定数量小于出货数量.
Cannot set quantity less than received quantity.,数量不可小于已接收数量.
Cannot set the field <b>{0}</b> for copying in variants,无法设置允许字段<b>{0}</b>复制到多规格物料
Cannot {0} from {1} without any negative outstanding invoice,无负未清发票时无法从{1}{0}
Canonical URI,规范URI
Capacity,容量
Capacity (Stock UOM),产能（库存单位）
Capacity Planning,产能计划
"Capacity Planning Error, planned start time can not be same as end time",产能计划错误，计划开始时间不能等于结束时间
Capacity Planning For (Days),产能计划期限（天）
Capacity in Stock UOM,产能（库存单位）
Capacity must be greater than 0,产能必须大于0
Capital Equipment,资本设备
Capital Stock,股本
Capital Work In Progress Account,在建工程科目
Capital Work in Progress,在建工程
Capitalize Asset,资产资本化
Capitalize Repair Cost,资本化维修成本
Capitalized,已资本化
Carrier,承运商
Carrier Service,承运服务
Carry Forward Communication and Comments,自动将邮件评论等沟通记录转至下游单据
Cash,现金
Cash Entry,现金分录
Cash Flow,现金流量表
Cash Flow Statement,现金流量表
Cash Flow from Financing,融资现金流
Cash Flow from Investing,投资现金流
Cash Flow from Operations,运营现金流
Cash In Hand,现款
Cash or Bank Account is mandatory for making payment entry,“现金”或“银行账户”是付款分录的必须项
Cash/Bank Account,现金/银行科目
Cashier,出纳员
Cashier Closing,收银结账
Cashier Closing Payments,收银员结算付款
Cashier is currently assigned to another POS.,收银员当前已分配至其他POS终端。
Catch All,全部
Categorize By,分类依据
Categorize by,分组
Categorize by Account,按科目分组
Categorize by Item,按物料分类
Categorize by Party,按往来单位分组
Categorize by Supplier,按供应商分类
Categorize by Voucher,按凭证分组
Categorize by Voucher (Consolidated),按凭证(已合并)分组
Category Details,类别明细
Caution,警告
Caution: This might alter frozen accounts.,警告：可能会变更已冻结科目
Cellphone Number,手机号
Certificate,证书
Certificate Details,证书详情
Certificate Limit,证书限额
Certificate No,证书编号
Certificate Required,证书
Change Amount,找零
Change Release Date,更改解除冻结日期
Change in Stock Value,库存金额变动
Change the account type to Receivable or select a different account.,请将科目类型改为应收或选择其他科目
Change this date manually to setup the next synchronization start date,手工修改后下次同步由此日期开始
Changes in {0},{0}变更记录
Changing Customer Group for the selected Customer is not allowed.,不允许更改所选客户的客户组。
"Changing the valuation method to Moving Average will affect new transactions. If backdated entries are added, earlier FIFO-based entries will be reposted, which may change closing balances.",切换至移动平均计价法将影响新交易。若添加回溯凭证，系统将重新计算基于先进先出法的历史记录，可能导致期末余额变更。
Channel Partner,渠道服务商
Charge of type 'Actual' in row {0} cannot be included in Item Rate or Paid Amount,行{0}的'实际'类型费用不可包含在物料单价或实付金额中
Chargeable,应课
Charges Incurred,费用
Charges are updated in Purchase Receipt against each item,费用会在每个物料的采购入库中更新
"Charges will be distributed proportionately based on item qty or amount, as per your selection",费用会根据选择的物料数量和金额按比例分摊。
Chart Of Accounts Template,科目表模板
Chart Preview,图表预览
Chart Tree,科目表树
Chart of Accounts Importer,科目表导入工具
Charts Based On,图表基准
Chassis No,车架号
Check if it is a hydroponic unit,检查它是否是水培单位
Check if material transfer entry is not required,如不需从工单触发工单发料，请勾选
Check this to disallow fractions. (for Nos),禁止使用小数，请勾选此项(针对个，支，片等整数单位)。
Checked On,检查时间
Checking this will round off the tax amount to the nearest integer,勾选后将四舍五入税额至整数
Checkout,结账
Checkout Order / Submit Order / New Order,结账订单/提交订单/新建订单
Cheque,支票
Cheque Date,支票日期
Cheque Height,支票高度
Cheque Number,支票号码
Cheque Print Template,支票打印模板
Cheque Size,支票大小
Cheque Width,支票宽度
Cheque/Reference Date,业务日期
Cheque/Reference No,业务单号
Cheques Required,需要检查
Cheques and Deposits Incorrectly cleared,支票与存款错误核销
Cheques and Deposits incorrectly cleared,支票及存款非正常清账
Child Docname,子单据名称/编号
Child Row Reference,子行引用
Child nodes can be only created under 'Group' type nodes,子节点只可创建在组类节点下
Child warehouse exists for this warehouse. You can not delete this warehouse.,因仓库已是其它仓库的父仓库。不允许删除。
Circular Reference Error,循环引用错误
Claimed Landed Cost Amount (Company Currency),申报到岸成本金额（公司货币）
Class / Percentage,班/百分比
Classification of Customers by region,客户按区域分类
Clauses and Conditions,条款和条件
Clear Notifications,清空通知
Clear Table,清除表格
Clearance Date,清账日期
Clearance Date not mentioned,请填写清账日期
Clearance Date updated,清账日期已更新
Clearing Demo Data...,正在清除演示数据...
Click on 'Get Finished Goods for Manufacture' to fetch the items from the above Sales Orders. Items only for which a BOM is present will be fetched.,点击'获取待生产成品'从上述销售订单提取物料，仅获取存在物料清单的物料
Click on Add to Holidays. This will populate the holidays table with all the dates that fall on the selected weekly off. Repeat the process for populating the dates for all your weekly holidays,点击'添加至假期'，系统将填充所选周休日期的假期表，重复操作可填充所有周休日期
Click on Get Sales Orders to fetch sales orders based on the above filters.,点击'获取销售订单'根据上述筛选条件提取销售订单
Click on the link below to verify your email and confirm the appointment,点击下方链接验证邮箱并确认预约
Click this button if you encounter a negative stock error for a serial or batch item. The system will fetch the available serials or batches automatically.,若遇到序列号或批次物料出现负库存错误，请点击此按钮。系统将自动获取可用序列号或批次。
Click to add email / phone,点击添加邮箱/电话
Close Issue After Days,几天后自动关闭问题
Close Loan,偿还借款
Close Replied Opportunity After Days,自动关闭已回复商机天数
Close the POS,关闭POS
Closed Document,封闭文件
Closed Documents,已关闭单据类型
Closed Period,已结账期间
Closed Work Order can not be stopped or Re-opened,已关闭工单不可停止或重新打开
Closed order cannot be cancelled. Unclose to cancel.,关闭的定单不能被取消。 Unclose取消。
Closing,成交日期
Closing (Cr),期末(贷方)
Closing (Dr),期末(借方)
Closing (Opening + Total),期末（期初+总计）
Closing Account Head,结转科目
Closing Account {0} must be of type Liability / Equity,关闭科目{0}的类型必须是负债/权益
Closing Amount,结账金额
Closing Balance,期末余额
Closing Balance as per Bank Statement,银行对账单余额
Closing Balance as per ERP,ERP系统余额
Closing Date,结算日期
Closing Text,结语文本
Closing [Opening + Total] ,期末 [期初 + 总计］ 
Code List,编码列表
Collect Outstanding Amount,收取未结金额
Collect Progress,采集进度信息
Collection Factor (=1 LP),积分系数（= 1积分）
Collection Rules,积分规则
Collection Tier,积分规则等级
Colour,颜色
Column in Bank File,银行电子文件栏位
Columns are not according to template. Please compare the uploaded file with standard template,列不符合模板要求，请对比上传文件与标准模板
Combined invoice portion must equal 100%,合计付款比例必须是100％
Commercial,商业
Commission,佣金
Commission Rate %,佣金率％
Commission Rate (%),佣金率（％）
Commission on Sales,销售佣金
Common Code,通用编码
Communication Channel,沟通渠道
Communication Medium,通讯媒介
Communication Medium Timeslot,通信媒体时隙
Communication Medium Type,通信媒体类型
Companies,公司
Company Abbreviation,公司简称
Company Abbreviation cannot have more than 5 characters,公司简称不能超过5个字符
Company Account,总账科目
Company Address Display,公司地址
Company Address is missing. You don't have permission to update it. Please contact your System Manager.,公司地址信息缺失。您无权限更新该信息，请联系系统管理员。
Company Bank Account,公司银行户头
Company Billing Address,公司发票地址
Company Description,公司介绍
Company Details,公司信息
Company Email,公司邮箱
Company Logo,公司标志
Company Name cannot be Company,公司名不能作为公司
Company Not Linked,未关联公司
Company Shipping Address,公司收货地址
Company Tax ID,公司纳税登记号
Company and Posting Date is mandatory,必须填写公司和过账日期
Company currencies of both the companies should match for Inter Company Transactions.,两家公司的本币应匹配关联公司交易。
Company field is required,公司字段是必填项
Company is mandatory,公司为必填项
Company is mandatory for company account,公司账户必须指定公司
Company is mandatory for generating an invoice. Please set a default company in Global Defaults.,生成发票必须指定公司，请在全局设置中设置默认公司
Company registration numbers for your reference. Tax numbers etc.,其它参考信息，如公司注册号、税号等
Company which internal customer represents,内部客户所属公司
Company which internal customer represents.,内部客户所属公司
Company which internal supplier represents,内部供应商所属公司
Company {0} added multiple times,公司{0}被重复添加
Company {0} does not exist,公司{0}不存在
Company {0} is added more than once,公司{0}被多次添加
Competitor,竞争对手
Competitor Detail,竞争对手明细
Competitor Name,竞争对手名称
Competitors,竞争对手
Complete Job,停止计时
Complete Order,完成订单
Completed By,执行人
Completed On,完成日期
Completed On cannot be greater than Today,完成日期不能晚于今日
Completed Operation,完成工序
Completed Qty,完工数量
Completed Qty cannot be greater than 'Qty to Manufacture',完成数量不可超过'待生产数量'
Completed Quantity,完成数量
"Completed Quantity ({0}), Pending Quantity ({1}) and Process Loss Quantity ({2}) must add up to the Qty to Manufacture ({3}).",完成数量 ({0})、待处理数量 ({1}) 和工艺损耗数量 ({2}) 之和必须等于本次制造数量 ({3})。
Completed Quantity cannot be greater than {0},完成数量不能大于 {0}
Completed Tasks,已完成任务
Completed Time,完成时间
Completed Work Orders,完工生产工单
"Completed, Pending and Process Loss quantities must add up to this.",完成数量、待处理数量和工艺损耗数量之和必须等于此数量。
Completion,完成%
Completion By,完成日期
Completion Date,完成日期
Completion Date can not be before Failure Date. Please adjust the dates accordingly.,完成日期不能在故障日期之前，请调整日期
Completion Status,完成状态
Component Expense Account,组件费用科目
Component Name,组件名称
Comprehensive Insurance,综合保险
Computer,电脑
Conditional Rule,条件规则
Conditional Rule Examples,条件规则示例
Conditions will be applied on all the selected items combined. ,条件将应用于所有选定物料的组合
Configure Product Assembly,配置产品组装
Configure the action to stop the transaction or just warn if the same rate is not maintained.,配置若交易中未使用相同价格时系统不允许交易保存还是只弹出警告
Configure the default Price List when creating a new Purchase transaction. Item prices will be fetched from this Price List.,设置新建采购交易时默认使用的价目表，物料价格将从此价目表获取
Confirm before resetting posting date,重置过账日期前请确认
Confirmation Date,确认日期
Consider Accounting Dimensions,显示辅助核算
Consider Minimum Order Qty,考虑最小订单数量
Consider Process Loss,考虑工艺损耗
Consider Projected Qty in Calculation,计算时考量预计数量
Consider Projected Qty in Calculation (RM),计算时考量预计数量（原材料）
Consider Rejected Warehouses,考虑退货仓
Consider Tax or Charge for,用途
Consolidate Sales Order Items,合并物料
Consolidate Sub Assembly Items,合并子装配件
Consolidated,合并
Consolidated Credit Note,合并贷项凭证
Consolidated Financial Statement,合并财务报表
Consolidated Sales Invoice,合并销售发票
Consolidated Trial Balance,合并试算平衡表
Consolidated Trial Balance can be generated for Companies having same root Company.,仅可为具有相同母公司的公司生成合并试算平衡表。
Consolidated Trial balance could not be generated as Exchange Rate from {0} to {1} is not available for {2}.,无法生成合并试算平衡表，因{2}当日{0}至{1}的汇率不可用。
Consultant,顾问
Consumable,耗材
Consumables,消耗品
Consumed,已耗用
Consumed Amount,消耗量
Consumed Asset Total Value,耗用的资产金额
Consumed Assets,耗用的资产
Consumed Items,委外原材料
Consumed Items Cost,已消耗物料成本
Consumed Qty,已耗用数量
Consumed Quantity,消耗数量
Consumed Stock Items,耗用的库存物料
"Consumed Stock Items, Consumed Asset Items or Consumed Service Items is mandatory for Capitalization",资本化需填写消耗库存/资产/服务项
Consumed Stock Total Value,耗用的库存金额
Consumption Rate,出库成本价
Contact Desc,联系人倒序
Contact HTML,联系HTML
Contact Info,联系方式
Contact Information,联系信息
Contact List,联系人列表
Contact Mobile,联系人手机
Contact Mobile No,联系人手机号
Contact Name,联系人姓名
Contact No.,联系人电话
Contact Person does not belong to the {0},联系人不属于{0}
Contra Entry,内部转账
Contract,合同
Contract Details,合同信息
Contract End Date,合同结束日期
Contract Fulfilment Checklist,合同履行点检表
Contract Period,合同期
Contract Template,合同模板
Contract Template Fulfilment Terms,合同模板履行条款
Contract Template Help,合同模板帮助
Contract Terms,合同条款
Contract Terms and Conditions,合同条款和条件
Contribution %,贡献％
Contribution Amount,贡献金额
Contribution Qty,贡献数量
Control Action,控制措施
Control Action for Cumulative Expense,累计费用控制措施
Control Historical Stock Transactions,历史库存交易控制
Conversion Rate,转换率
Conversion factor for default Unit of Measure must be 1 in row {0},行{0}中默认单位的转换系数必须是1
Conversion factor for item {0} has been reset to 1.0 as the uom {1} is same as stock uom {2}.,物料{0}的换算系数已重置为1.0，因其单位{1}与库存单位{2}相同
Conversion rate cannot be 0,汇率不能为 0
"Conversion rate is 1.00, but document currency is different from company currency",汇率设置为1.00，但单据货币与公司货币不同
Conversion rate must be 1.00 if document currency is same as company currency,单据货币与公司本位币相同时，汇率必须为1.00
Convert to Group,转换为组
Convert to Item Based Reposting,启用按物料进行成本追溯调整
Convert to Ledger,转换为分类账,Warehouse
Convert to Non-Group,转换为非组
Converted,已转化
Copied From,复制自
Copy Fields to Variant,将字段复制到多规格物料
Corrective,纠正
Corrective Action,纠正措施
Corrective Job Card,返工生产任务单
Corrective Operation,返工工序
Corrective Operation Cost,返工费用
Corrective/Preventive,纠正/预防
Cost,成本
Cost Center Allocation Percentage,成本中心分配百分比
Cost Center Allocation Percentages,成本中心分摊百分比
Cost Center Name,成本中心名称
Cost Center Number,成本中心号
Cost Center for Item rows has been updated to {0},物料行的成本中心已更新为{0}
"Cost Center is a part of Cost Center Allocation, hence cannot be converted to a group",成本中心参与分配，不可转换为组
Cost Center is required in row {0} in Taxes table for type {1},类型{1}税费表的行{0}必须有成本中心
Cost Center with Allocation records can not be converted to a group,存在分配记录的成本中心不可转换为组
Cost Center with existing transactions can not be converted to group,有交易的成本中心不能转化为组
Cost Center with existing transactions can not be converted to ledger,已产生业务交易的成本中心不能转化为记账成本中心
Cost Center {0} cannot be used for allocation as it is used as main cost center in other allocation record.,成本中心{0}已在其他分配中作为主成本中心使用，不可分配
Cost Center: {0} does not exist,成本中心：{0}不存在
Cost Centers,成本中心
Cost Configuration,成本配置
Cost Per Unit,单位成本
Cost of Delivered Items,出货物料成本
Cost of Goods Sold,销货成本
Cost of Issued Items,已发料物料成本
Cost of Poor Quality Report,制程不良成本报表
Cost of Purchased Items,采购物料成本
Cost of various activities,各种作业费用
Cost to Company (CTC),公司成本（CTC）
Costing,成本核算
Costing Amount,成本
Costing Details,成本核算信息
Costing Rate,成本价
Costing and Billing,成本核算和结算
Could Not Delete Demo Data,无法删除演示数据
Could not auto create Customer due to the following missing mandatory field(s):,无法自动创建客户，缺失必填字段：
"Could not create Credit Note automatically, please uncheck 'Issue Credit Note' and submit again",无法自动创建退款单，请取消选中&#39;退款&#39;并再次提交
Could not detect the Company for updating Bank Accounts,无法识别更新银行账户的公司
Could not find a suitable shift to match the difference: {0},未找到合适班次匹配差异：{0}。
Could not retrieve information for {0}.,无法检索{0}的信息。
Could not solve criteria score function for {0}. Make sure the formula is valid.,无法解决{0}的标准分数函数。确保公式有效。
Could not solve weighted score function. Make sure the formula is valid.,无法解决加权分数函数。确保公式有效。
Country Code in File does not match with country code set up in the system,文件中的国家代码与系统设置不匹配
Country of Origin,原产国
Coupon Code Based,基于优惠券
Coupon Description,优惠券说明
Coupon Name,优惠券名称
Coupon Type,优惠券类型
Cr,贷方,r
Create Chart Of Accounts Based On,科目表模板
Create Delivery Trip,创建配送单
Create Employee,新增员工
Create Employee Records,创建员工档案
Create Employee records.,创建员工记录
Create Grouped Asset,创建组资产(多个数量一个资产号)
Create Inter Company Journal Entry,创建关联公司交易日记账凭证
Create Invoices,创建发票
Create Job Card,创建生产任务单
Create Job Card based on Batch Size,基于批量创建(拆分)生产任务单
Create Journal Entries,创建日记账分录
Create Journal Entry,创建日记账凭证
Create Lead,新建线索
Create Leads,创建线索
Create Ledger Entries for Change Amount,为找零生成日记账凭证
Create Link,创建关联
Create MPS,创建主生产计划
Create Missing Party,创建往来单位（供应商或客户）
Create Multi-level BOM,创建多级物料清单
Create New Contact,创建新联系人
Create New Customer,新建客户
Create New Lead,创建新线索
Create Opportunity,新增商机
Create POS Opening Entry,创建POS接班记录
Create Payment Entry for Consolidated POS Invoices.,为合并POS发票创建付款凭证。
Create Print Format,创建打印格式
Create Prospect,创建潜在客户
Create Purchase Order,创建采购订单
Create Purchase Orders,创建采购订单
Create Quotation,创建报价
Create Receiver List,创建接收人列表
Create Reposting Entries,创建
Create Reposting Entry,创建物料成本价追溯调整
Create Sales Order,创建销售订单
Create Sales Orders to help you plan your work and deliver on-time,创建销售订单以帮助您规划工作并按时出货
Create Stock Entry,新建物料移动
Create Supplier Quotation,创建供应商报价
Create Tax Template,创建税费模板
Create Timesheet,创建工时表
Create User,创建用户
Create User Permission,创建用户权限限制
Create Users,创建用户
Create Variant,创建多规格物料
Create Variants,创建多规格物料
Create Workstation,创建工作中心
Create a Stock Closing Entry for the entire company with To Date as {0} before submitting the Period Closing Voucher.,提交期间结账凭证前，请为整个公司创建一张截止日期为 {0} 的库存结账单。
Create a variant with the template image.,使用模板图像创建变型
Create an incoming stock transaction for the Item.,为物料创建一笔收货记录
Create customer quotes,创建客户报价
Create {0} {1} ?,是否创建{0}{1}？
Created {0} draft Payment Entries,已创建 {0} 张付款单草稿
